post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
140588142.m64-shakes-afghanistan-and-neighboring,2024-01-11T18:45:50.269Z,true,2024-01-11T18:45:50.364Z,2024-01-11T18:45:50.364Z,newsletter,only_paid,M6.4 earthquake shakes Afghanistan and neighboring countries,Deep source of intense seismicity likely associated with tearing of subducting slab,
140511366.seismicity-patterns-around-the-jan,2024-01-09T21:20:37.480Z,true,2024-01-09T21:20:37.614Z,2024-01-09T21:20:37.614Z,newsletter,only_paid,Seismicity patterns around the Jan 1 earthquake in Japan,Developments in an intriguing story of earthquakes and seismic swarms,
140401666.m41-and-m42-earthquakes-rattle-los,,false,,,newsletter,only_paid,,,
140358568.tectonics-of-the-january-1-2024-m75,2024-01-06T00:44:13.257Z,true,2024-01-06T00:44:13.516Z,2024-01-06T00:44:13.516Z,newsletter,only_paid,"Tectonics of the January 1, 2024 M7.5 earthquake in Japan",Exploring earthquakes on Japan's western coast,
140244039.m75-earthquake-strikes-western-japan,2024-01-01T17:41:59.094Z,true,2024-01-01T17:41:59.288Z,2024-01-01T17:41:59.288Z,newsletter,only_paid,"M7.5 earthquake strikes western Japan, triggers tsunami",Complex precursory behavior has occurred along this fault since 2020,
140227875.rememering-paul-tapponnier-judith,,false,,,newsletter,only_paid,,,
140227698.earthquake-insights-digest-jan-4,2024-01-04T13:22:03.152Z,true,2024-01-04T13:22:03.268Z,2024-01-04T13:22:03.268Z,newsletter,only_paid,"Earthquake Insights Digest - Jan 4, 2024",,
140090020.remembering-paul-tapponnier,,false,,,newsletter,only_paid,,,
139920394.deadly-m61-earthquake-strikes-western,2023-12-19T17:41:21.051Z,true,2023-12-19T17:41:21.149Z,2023-12-19T17:41:21.149Z,newsletter,everyone,Deadly M6.1 earthquake strikes western China,Thrust earthquake accommodates oblique compression in northeastern Tibetan Plateau,
139889676.istanbul-lightly-shaken-by-m4-earthquake,2023-12-18T17:18:07.527Z,true,2023-12-18T17:18:07.585Z,2023-12-18T17:18:07.585Z,newsletter,only_paid,Istanbul lightly shaken by M4 earthquake,Normal-mechanism event on a releasing bend of the North Anatolian Fault,
139889283.m57-kashmir,,false,,,newsletter,only_paid,,,
139813593.focal-mechanisms,,false,,,newsletter,only_paid,,,
139782495.m56-earthquake-in-the-remote-norwegian,2023-12-14T16:11:34.149Z,true,2023-12-14T16:11:34.243Z,2023-12-14T16:11:34.243Z,newsletter,only_paid,M5.6 earthquake in the remote Norwegian Sea,"Here, the Eurasian and North American Plates are pulling apart at ~15 mm/yr.",
139603470.m58-earthquake-shakes-mexico-city,2023-12-08T02:43:55.441Z,true,2023-12-08T02:43:55.517Z,2023-12-08T02:43:55.517Z,newsletter,only_paid,M5.8 earthquake shakes Mexico City,Likely caused by the bending as the subducting plate abruptly steepens,
139387210.m76-earthquake-below-east-coast-of,2023-12-03T16:18:29.458Z,true,2023-12-03T16:18:29.638Z,2023-12-03T16:18:29.638Z,newsletter,only_paid,"M7.6 earthquake below east coast of Mindanao, Philippines",Many uncertainties about this subduction event due to lack of instrumentation,
139363550.m55-earthquake-felt-across-bangladesh,2023-12-02T16:10:46.613Z,true,2023-12-02T16:10:46.694Z,2023-12-02T16:10:46.694Z,newsletter,only_paid,M5.5 earthquake felt across Bangladesh,Stresses on the subducting Indian Plate can cause hazardous earthquakes,
139328044.m48-earthquake-near-california-mexico,2023-12-01T15:51:48.203Z,true,2023-12-01T15:51:48.285Z,2023-12-01T15:51:48.285Z,newsletter,only_paid,M4.8 earthquake near California-Mexico border,Near the northern end of the 2010 M7.2 El Mayor-Cucapah earthquake,
